C,Real-Time Energy Market Historical Offer Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Filename: hbrealtimeenergyoffer_20250625.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Report for: 06/25/2025 - 06/25/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Report generated: 10/01/2025 06:17:40 EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,Day,Trading Interval,Masked Lead Participant ID,Masked Asset ID,Must Take Energy,Maximum Daily Energy Available,Economic Maximum,Economic Minimum,Cold Startup Price,Intermediate Startup Price,Hot Startup Price,No Load Price,Segment 1 Price,Segment 1 MW,Segment 2 Price,Segment 2 MW,Segment 3 Price,Segment 3 MW,Segment 4 Price,Segment 4 MW,Segment 5 Price,Segment 5 MW,Segment 6 Price,Segment 6 MW,Segment 7 Price,Segment 7 MW,Segment 8 Price,Segment 8 MW,Segment 9 Price,Segment 9 MW,Segment 10 Price,Segment 10 MW,Claim 10,Claim 30,Unit Status,Max Daily Award Limit
H,Date,String,Number,Number,Number,Number,Number,Number,$,$,$,$,$,MW,$,MW,$,MW,$,MW,$,MW,$,MW,$,MW,$,MW,$,MW,$,MW,MW,MW,String,MW
D,06/25/2025,23,20721,91570,0,0,43.5,20,3791,3791,3791,1043.4,82.2,20,82.21,7.8,82.22,7.9,82.23,7.8,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,24,20721,91570,0,0,43.5,20,3791,3791,3791,1043.4,82.2,20,82.21,7.8,82.22,7.9,82.23,7.8,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,1,101197,11031,0,0,44,38,1226.23,1226.23,1226.23,594.33,67.04,43,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,2,101197,11031,0,0,45,38,1226.23,1226.23,1226.23,594.33,67.04,43,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,3,101197,11031,0,0,45,38,1226.23,1226.23,1226.23,594.33,67.04,43,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,4,101197,11031,0,0,45,38,1226.23,1226.23,1226.23,594.33,67.04,43,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,5,101197,11031,0,0,45,38,1226.23,1226.23,1226.23,594.33,67.04,43,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,6,101197,11031,0,0,45,38,1226.23,1226.23,1226.23,594.33,67.04,43,,,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,7,101197,11031,0,0,45,38,1226.23,1226.23,1226.23,594.33,67.04,43,,,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,8,101197,11031,0,0,44,38,1226.23,1226.23,1226.23,594.33,67.04,38,71.74,5,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
