Date,trade_int,lead_id,asset_id,must_take_eng,max_eng,eco_max,eco_min,cold_price,inter_price,hot_price,no_load_price,seg1_price,seg1_mw,seg2_price,seg2_mw,seg3_price,seg3_mw,seg4_price,seg4_mw,seg5_price,seg5_mw,seg6_price,seg6_mw,seg7_price,seg7_mw,seg8_price,seg8_mw,seg9_price,seg9_mw,seg10_price,seg10_mw,claim10,claim30,int_start,int_end,_ts,date,hour,market_type,source_file
2025-06-25,1,595644,34578,0,14640.0,541.0,406.0,23691.0,14846.0,14846.0,1843.0,41.59,406.0,42.17,17.0,42.75,17.0,43.34,17.0,43.93,16.0,44.53,17.0,45.12,16.0,45.13,1.0,80.24,19.0,100.24,15.0,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,591975,36992,0,0.0,234.0,145.0,22090.1,9780.49,9154.58,3301.23,37.01,145.0,94.07,1.0,94.68,11.0,95.81,11.0,96.93,11.0,98.05,11.0,99.18,11.0,100.3,11.0,101.42,11.0,102.55,11.0,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,629513,42431,0,12.0,2.2,2.0,303.59,303.59,303.59,271.17,190.2,2.0,190.2,0.2000000000000001,,,,,,,,,,,,,,,,,0.0,2.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,399648,46072,3,0.0,15.5,3.0,0.0,0.0,0.0,0.0,-150.0,3.0,-149.99,10.8,-149.98,1.0,-149.97000000000008,0.0999999999999999,-149.9600000000001,0.0999999999999999,-149.9500000000001,0.0999999999999999,-149.9400000000001,0.0999999999999999,-149.9300000000001,0.0999999999999999,-149.9200000000001,0.0999999999999999,-149.9100000000001,0.0999999999999999,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,855157,48591,0,9600.0,400.2,100.0,88066.79,33080.62,11446.72,6012.32,127.35,60.0,137.56,40.0,144.85,50.0,152.14,50.0,163.8,80.0,219.96,20.0,222.93,20.0,227.39,30.0,228.88,10.0,234.83,40.0,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,504170,53164,11,264.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,,,,,,,,,,,,,,,,,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,379629,54965,0,2880.0,120.0,45.0,18350.04,14396.27,10745.94,1137.13,130.33,45.0,134.65,20.0,140.07,25.0,145.91,27.0,150.77999999999997,0.5,155.99599999999998,0.5,161.21199999999996,0.5,166.42799999999994,0.5,171.64399999999995,0.5,176.85999999999993,0.5,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,591975,55408,0,0.0,242.0,145.0,48460.1,24350.49,23124.58,6797.9,83.15,145.0,99.76,1.0,100.47,12.0,101.77,12.0,103.07,12.0,104.37,12.0,105.67,12.0,106.97,12.0,108.27,12.0,109.57,12.0,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,505616,55852,0,0.0,14.5,13.0,0.0,0.0,0.0,0.0,10.0,13.0,400.0,1.2,790.0,0.0375,1180.0,0.0375,1570.0,0.0375,1960.0,0.0375,2349.9999999999995,0.0375,2739.9999999999995,0.0375,3129.9999999999995,0.0375,3519.9999999999995,0.0375,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
2025-06-25,1,591975,56483,0,0.0,239.0,150.0,16019.97,10927.9,10264.07,3055.02,31.95,150.0,50.2,1.0,50.58,11.0,51.27,11.0,51.97,11.0,52.66,11.0,54.05,33.0,55.12,1.0,73.69,6.0,262.15,4.0,0.0,0.0,2025-06-25 00:00:00,2025-06-25 00:59:59.999,2025-06-25 00:00:00,2025-06-25,00:00:00,da,data_da_20250625_cleaned_no_neg.csv
